58.8907204132621° N           9.44086013726877° E
58.8958281591763° N           9.43796765887078° E
58.8968825634481° N           9.43182900925591° E
58.9031950932521° N           9.43276295640616° E
58.9040283066887° N           9.42924517901833° E
58.9014132068501° N           9.41937495474288° E
58.9047206370603° N           9.41482038222305° E
58.9047735270082° N           9.40307927927597° E
58.9043317942002° N           9.38785195606243° E
58.9005806541717° N           9.37848868441755° E
58.8952994803819° N           9.37182098284101° E
58.8891376199465° N           9.36565413130738° E
58.8830483133814° N           9.36512222217493° E
58.8824129357558° N           9.36777111164989° E
58.8838846363987° N           9.37552370124322° E
58.8855258328624° N           9.38021141582279° E
58.8898884462659° N           9.384324463556° E
58.8950515981339° N           9.38446225969111° E
58.8992224464418° N           9.39207491034778° E
58.9014451961131° N           9.40498517778285° E
58.8977503679336° N           9.41479425759764° E
58.8912446425807° N           9.41556811802905° E
58.8833565321589° N           9.4151625910667° E
58.8798845280644° N           9.40837623094479° E
58.8802470519953° N           9.4027201574552° E
58.8778036564927° N           9.4045803786643° E
58.872721299143° N            9.41095962018634° E
58.8686626703804° N           9.40944072552737° E
58.8660529699785° N           9.40088768591567° E
58.8633025322137° N           9.38191224893315° E
58.8616661826129° N           9.36330193085249° E
58.8623576391066° N           9.35021557484322° E
58.8657711082381° N           9.33870645295766° E
58.8658288756661° N           9.32783222382417° E
58.8675210672099° N           9.32162160373536° E
58.8727756368822° N           9.31218388754332° E
58.8799396676433° N           9.30916285142098° E
58.8829997825815° N           9.30332054292078° E
58.8864663240037° N           9.29615960279861° E
58.8841604046321° N           9.29192901333356° E
58.8792707575345° N           9.296151456043° E
58.8737169189491° N           9.29995588716277° E
58.8682748877183° N           9.29724145091891° E
58.8609986621727° N           9.29243778806822° E
58.85540663551° N             9.29407864740586° E
58.8513024287036° N           9.29126278296276° E
58.8498828906843° N           9.28787607239684° E
58.8459345675851° N           9.29421283125465° E
58.8440193251301° N           9.28604473008961° E
58.8428241575507° N           9.28045832991901° E
58.8394348015342° N           9.28199688719833° E
58.8360536778741° N           9.27912415349814° E
58.8350228252087° N           9.28529493578218° E
58.8360802793762° N           9.29608424597794° E
58.837385193007° N            9.30731905317033° E
58.8348805943726° N           9.31963054436967° E
58.8361865485861° N           9.33171755244421° E
58.841546591049° N            9.34357665108261° E
58.8457133008697° N           9.36552541961121° E
58.8489680095845° N           9.38708542122166° E
58.8485752301875° N           9.40404540598231° E
58.8476604919358° N           9.41932667568919° E
58.8456350794342° N           9.43462644834609° E
58.8419122726175° N           9.44223971721818° E
58.837997043279° N            9.45026728342871° E
58.8335785300538° N           9.45574940917946° E
58.8276896509799° N           9.4530170411695° E
58.823218930497° N            9.43978189416063° E
58.820024125873° N            9.42171648989157° E
58.8170728959063° N           9.40449860464813° E
58.813469251299° N            9.38949007409311° E
58.8112392752489° N           9.39050191977434° E
58.8063260990524° N           9.39294494405031° E
58.8041644625267° N           9.38351966406204° E
58.8051916114413° N           9.37607154180362° E
58.8014918044189° N           9.37021792273214° E
58.7981829914467° N           9.36082779524313° E
58.7967142847993° N           9.36829767527639° E
58.7987162378531° N           9.38077955083466° E
58.7998006877138° N           9.39158364058103° E
58.801135739184° N            9.40583673256967° E
58.8057675058517° N           9.4155470457199° E
58.8075232561614° N           9.42673985543728° E
58.8054903274507° N           9.42686575067343° E
58.802408520435° N            9.43049402227522° E
58.8012972056374° N           9.41884939609213° E
58.7969420649351° N           9.411724866344° E
58.7925239262094° N           9.40151924235427° E
58.7891634670357° N           9.3874169056349° E
58.7860761231007° N           9.37758343740953° E
58.7829923994107° N           9.38254938350607° E
58.7815468544874° N           9.37610780698871° E
58.7781339550952° N           9.37282604281326° E
58.7753011603915° N           9.36474355152764° E
58.7723261249796° N           9.36189077611346° E
58.7698558549576° N           9.36157607122318° E
58.7697425253018° N           9.35422046960687° E
58.7638800012017° N           9.35238310331361° E
58.7599318529671° N           9.34479516439306° E
58.7563240899105° N           9.34416975759256° E
58.7538815675813° N           9.34602809570416° E
58.7523818477793° N           9.33700154826511° E
58.7543257483464° N           9.33082261481179° E
58.7535504188619° N           9.32480576068164° E
58.7500438509632° N           9.31718261077458° E
58.746072353311° N            9.30874878250004° E
